id,host_is_superhost,neighbourhood_group_cleansed,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
43862488,f,Queens,1,0.0,1.0,1.0,35,30,0,0,0,0,0,0.0,0.0
43866207,f,Brooklyn,3,0.0,1.0,2.0,110,30,0,0,0,0,0,0.0,0.0
43866606,f,Manhattan,2,0.0,1.0,1.0,42,1,0,4,30,120,0,0.0,0.0
43869863,f,Queens,2,0.0,1.0,1.0,121,1,26,56,86,361,7,5.0,0.49
43870744,f,Brooklyn,2,0.0,1.0,1.0,60,30,0,0,0,0,2,5.0,0.16
43871113,f,Brooklyn,4,0.0,1.0,2.0,150,3,0,0,0,244,3,5.0,0.22
43876279,f,Brooklyn,2,0.0,1.0,1.0,195,7,1,1,1,1,4,5.0,2.61
43876282,f,Queens,1,0.0,1.0,1.0,105,30,0,0,0,85,0,0.0,0.0
43876891,f,Brooklyn,4,0.0,1.0,0.0,65,30,30,60,90,365,1,1.0,0.07
43877901,f,Brooklyn,2,0.0,1.0,1.0,49,30,0,26,56,56,0,0.0,0.0
43878353,f,Queens,2,0.0,1.0,1.0,37,30,4,4,4,4,0,0.0,0.0
43878655,f,Queens,1,0.0,1.0,1.0,38,30,13,43,43,43,0,0.0,0.0
43878868,f,Brooklyn,2,0.0,1.0,1.0,50,30,25,55,55,55,1,5.0,0.09
43881057,f,Brooklyn,4,0.0,2.0,2.0,125,30,0,0,0,0,0,0.0,0.0
43882478,t,Queens,2,0.0,1.0,1.0,90,2,21,51,81,260,3,5.0,0.23
43883517,f,Manhattan,2,0.0,1.0,0.0,850,30,8,8,8,283,4,5.0,0.43
43887651,f,Brooklyn,2,0.0,1.0,2.0,48,30,0,0,0,0,2,5.0,0.15
43888356,f,Manhattan,4,0.0,2.0,2.0,584,30,9,39,69,344,0,0.0,0.0
43892473,f,Queens,13,0.0,3.0,9.0,428,30,0,0,0,137,8,4.38,0.6
43892861,f,Brooklyn,1,0.0,1.0,1.0,157,2,28,58,88,363,0,0.0,0.0
43894383,f,Manhattan,2,0.0,0.0,1.0,207,1,1,1,1,1,22,4.45,4.29
43894839,f,Manhattan,3,0.0,0.0,2.0,223,1,0,0,0,207,3,3.67,0.21
43895124,f,Manhattan,3,0.0,0.0,2.0,210,1,26,26,26,26,14,4.64,1.15
43895531,f,Queens,2,0.0,1.0,1.0,60,2,3,3,3,3,13,4.77,13.0
43898057,f,Manhattan,2,0.0,1.0,2.0,90,90,8,8,8,261,0,0.0,0.0
43898866,f,Manhattan,2,0.0,1.0,1.0,120,30,0,0,0,27,10,4.9,0.79
43899199,f,Manhattan,1,0.0,1.0,1.0,89,28,0,0,0,0,6,4.67,0.43
43899350,f,Manhattan,1,0.0,1.0,1.0,89,28,1,1,1,1,3,4.67,0.23
43906180,t,Manhattan,6,0.0,2.0,0.0,550,30,0,0,0,0,0,0.0,0.0
43906386,f,Brooklyn,2,0.0,1.0,1.0,141,7,0,1,1,33,4,5.0,0.64
43906458,f,Manhattan,3,0.0,0.0,1.0,100,3,0,0,0,0,0,0.0,0.0
43907420,f,Brooklyn,2,0.0,1.0,1.0,50,3,0,0,30,35,3,5.0,2.73
